ID,NAME,STARTYEAR,ENDYEAR,POS,HT,WT,BIRTHDATE,COLLEGE
182,Stephen Previs,1973,1973,G,6-3,183,February 9, 1950,University of North Carolina
183,A.J. Price,2010,2015,G,6-2,181,October 7, 1986,University of Connecticut
184,Brent Price,1993,2002,G,6-1,165,December 9, 1968,University of South Carolina, University of Oklahoma
185,Jim Price,1973,1979,G,6-3,195,November 27, 1949,University of Louisville
186,Mark Price,1987,1998,G,6-0,170,February 15, 1964,Georgia Institute of Technology
187,Mike Price,1971,1973,G,6-3,200,September 11, 1948,University of Illinois at Urbana-Champaign
188,Ronnie Price,2006,2017,G,6-2,190,June 21, 1983,Nicholls State University, Utah Valley State College
189,Tony Price,1981,1981,G,6-6,190,January 5, 1957,University of Pennsylvania
190,Bob Priddy,1953,1953,F,6-3,190,March 24, 1930,New Mexico State University
191,Pablo Prigioni,2013,2016,G,6-3,185,May 17, 1977,
192,Tayshaun Prince,2003,2016,F,6-9,212,February 28, 1980,University of Kentucky
193,John Pritchard,1950,1950,C,6-9,220,January 23, 1927,Drake University
194,Kevin Pritchard,1991,1996,G,6-3,180,July 17, 1967,University of Kansas
195,Laron Profit,2000,2006,G-F,6-5,204,August 5, 1977,University of Maryland
196,Gabe Pruitt,2008,2009,G,6-4,170,April 19, 1986,University of Southern California
197,Joel Przybilla,2001,2013,C,7-1,255,October 10, 1979,University of Minnesota
198,Les Pugh,1949,1950,C-F,6-7,190,September 18, 1922,Ohio State University
199,Roy Pugh,1949,1949,C-F,6-6,210,October 16, 1922,Southern Methodist University
200,Anthony Pullard,1993,1993,F,6-10,245,June 23, 1966,McNeese State University
201,Jacob Pullen,2018,2018,G,6-1,200,November 10, 1989,Kansas State University
202,Rodney Purvis,2018,2018,G,6-4,205,February 14, 1994,University of Connecticut
203,Don Putman,1947,1950,G,6-1,170,November 13, 1922,University of Denver
1,Zhou Qi,2018,2018,F-C,7-1,210,January 16, 1996,
2,Tim Quarterman,2017,2018,G,6-6,195,October 27, 1994,Louisiana State University
3,Bob Quick,1969,1972,F-G,6-5,215,March 5, 1946,Xavier University
4,Chris Quinn,2007,2013,G,6-2,185,September 27, 1983,University of Notre Dame
5,Brian Quinnett,1990,1992,F,6-8,235,May 30, 1966,Washington State University
1,Ivan Rabb,2018,2018,F,6-10,220,February 4, 1997,University of California
2,Luther Rackley,1970,1974,C,6-10,220,June 11, 1946,Xavier University
3,Howie Rader,1949,1949,G-F,6-1,190,March 29, 1921,Long Island University
4,Mark Radford,1982,1983,G,6-4,190,July 5, 1959,Oregon State University
5,Wayne Radford,1979,1979,G,6-3,205,May 29, 1956,Indiana University
6,Dino Radja*,1994,1997,F-C,6-11,225,April 24, 1967,
7,Vladimir Radmanovic,2002,2013,F,6-10,227,November 19, 1980,
8,Aleksandar Radojevic,2000,2005,C,7-3,250,August 8, 1976,Barton County Community College
9,Frank Radovich,1962,1962,F,6-8,235,March 3, 1938,Indiana University
10,Moe Radovich,1953,1953,G,6-0,160,May 5, 1929,University of Wyoming
11,Miroslav Raduljica,2014,2015,C,7-0,250,January 5, 1988,
12,Ray Radziszewski,1958,1958,F,6-5,210,March 1, 1935,Saint Joseph's University
13,Ray Ragelis,1952,1952,F,6-4,205,December 10, 1928,Northwestern University
14,Sherwin Raiken,1953,1953,G,6-2,185,October 29, 1928,Villanova University
15,Ed Rains,1982,1983,F,6-7,190,December 24, 1956,University of South Alabama
16,Igor Rakocevic,2003,2003,G,6-3,183,March 29, 1978,
17,Kurt Rambis,1982,1995,F,6-8,213,February 25, 1958,Santa Clara University
18,Peter John Ramos,2005,2005,C,7-3,275,May 13, 1985,
19,Cal Ramsey,1960,1961,F,6-4,200,July 13, 1937,New York University
20,Frank Ramsey*,1955,1964,F-G,6-3,190,July 13, 1931,University of Kentucky
21,Ray Ramsey,1949,1949,G-F,6-2,165,July 18, 1921,Bradley University
22,Mark Randall,1992,1995,F,6-8,235,September 30, 1967,University of Kansas
23,Chasson Randle,2017,2017,G,6-2,185,February 5, 1993,Stanford University
24,Julius Randle,2015,2018,F-C,6-9,250,November 29, 1994,University of Kentucky
25,Anthony Randolph,2009,2014,F,6-10,205,July 15, 1989,Louisiana State University
26,Shavlik Randolph,2006,2015,F,6-10,240,November 24, 1983,Duke University
27,Zach Randolph,2002,2018,F-C,6-9,260,July 16, 1981,Michigan State University
28,Wally Rank,1981,1981,F-G,6-6,220,March 1, 1958,San Jose State University
29,Kelvin Ransey,1981,1986,G,6-1,170,May 3, 1958,Ohio State University
30,Sam Ranzino,1952,1952,G,6-1,185,June 23, 1928,North Carolina State University
31,Bobby Rascoe,1968,1970,G-F,6-4,205,July 22, 1940,Western Kentucky University
32,Blair Rasmussen,1986,1993,C,7-0,250,November 13, 1962,University of Oregon
33,Xavier Rathan-Mayes,2018,2018,G,6-4,208,April 29, 1994,Florida State University
34,George Ratkovicz,1950,1955,C-F,6-6,220,November 13, 1922,
35,Ed Ratleff,1974,1978,F-G,6-6,195,March 29, 1950,California State University, Long Beach
36,Mike Ratliff,1973,1974,C,6-10,230,June 7, 1951,University of Wisconsin-Eau Claire
37,Theo Ratliff,1996,2011,C-F,6-10,225,April 17, 1973,University of Wyoming
38,Andy Rautins,2011,2011,G,6-4,190,November 2, 1986,Syracuse University
39,Leo Rautins,1984,1985,F,6-8,215,March 20, 1960,University of Minnesota, Syracuse University
40,Allan Ray,2007,2007,G,6-2,190,June 17, 1984,Villanova University
41,Clifford Ray,1972,1981,C,6-9,230,January 21, 1949,University of Oklahoma
42,Don Ray,1950,1950,F-C,6-5,190,July 8, 1921,Western Kentucky University
43,James Ray,1981,1983,F,6-8,215,July 27, 1957,Jacksonville University
44,Jim Ray,1957,1960,G,6-1,180,January 12, 1934,University of Toledo
45,Jimmy Rayl,1968,1969,G,6-2,175,June 21, 1941,Indiana University
46,Craig Raymond,1969,1973,C,6-11,235,April 5, 1945,Brigham Young University
47,Connie Rea,1954,1954,G-F,6-3,175,January 27, 1935,Centenary College of Louisiana
48,Joe Reaves,1974,1974,F,6-5,210,May 27, 1950,Bethel College
49,Zeljko Rebraca,2002,2006,C,7-0,257,April 9, 1972,
50,Eldridge Recasner,1995,2002,G,6-3,190,December 14, 1967,University of Washington
51,Michael Redd,2001,2012,G,6-6,220,August 24, 1979,Ohio State University
52,Frank Reddout,1954,1954,F,6-5,195,,Syracuse University
53,J.J. Redick,2007,2018,G,6-4,190,June 24, 1984,Duke University
54,Marlon Redmond,1979,1980,G,6-6,188,April 15, 1955,University of San Francisco
55,Davon Reed,2018,2018,G,6-5,208,June 11, 1995,University of Miami
56,Hub Reed,1959,1965,C-F,6-9,215,October 4, 1936,Oklahoma City University
57,Justin Reed,2005,2007,F,6-8,240,January 16, 1982,University of Mississippi
58,Ron Reed,1966,1967,F,6-5,205,November 2, 1942,University of Notre Dame
59,Willie Reed,2016,2018,F-C,6-10,220,May 16, 1990,Saint Louis University
60,Willis Reed*,1965,1974,C-F,6-9,235,June 25, 1942,Grambling State University
61,Bryant Reeves,1996,2001,C,7-0,275,June 8, 1973,Oklahoma State University
62,Khalid Reeves,1995,2000,G,6-3,199,July 15, 1972,University of Arizona
63,Richie Regan,1956,1958,G,6-2,180,November 30, 1930,Seton Hall University
64,Don Rehfeldt,1951,1952,F,6-7,210,January 7, 1927,University of Wisconsin
65,Billy Reid,1981,1981,G,6-5,190,September 10, 1957,University of New Mexico, University of San Francisco
66,Don Reid,1996,2003,F,6-8,250,December 30, 1973,Georgetown University
67,J.R. Reid,1990,2001,F,6-9,247,March 31, 1968,University of North Carolina
68,Jim Reid,1968,1968,F,6-6,210,August 3, 1945,Winston-Salem State University
69,Robert Reid,1978,1991,F-G,6-8,205,August 30, 1955,St. Mary's University
70,Ryan Reid,2012,2012,F,6-8,232,October 30, 1986,Florida State University
71,Jared Reiner,2005,2007,C,6-11,255,April 8, 1982,University of Iowa
72,Chick Reiser,1948,1950,G-F,5-11,165,December 17, 1914,New York University
73,Richard Rellford,1988,1988,F,6-6,230,February 16, 1964,University of Michigan
74,Terrence Rencher,1996,1996,G,6-3,185,February 19, 1973,University of Texas at Austin
75,John Rennicke,1952,1952,G,6-2,185,August 11, 1929,Drake University
76,Bob Rensberger,1947,1947,F,6-2,170,March 7, 1921,University of Notre Dame
77,Efthimi Rentzias,2003,2003,C,6-11,250,January 11, 1976,
78,Shawn Respert,1996,1999,G,6-1,195,February 6, 1972,Michigan State University
79,Kevin Restani,1975,1982,F-C,6-9,225,December 23, 1951,University of San Francisco
80,George Reynolds,1970,1970,G,6-4,195,November 23, 1947,University of Houston
81,Jerry Reynolds,1986,1996,G-F,6-8,200,December 23, 1962,Louisiana State University
82,Kendall Rhine,1968,1969,C,6-10,230,February 13, 1943,Rice University
83,Gene Rhodes,1953,1953,G,6-1,170,September 2, 1927,Western Kentucky University
84,Rodrick Rhodes,1998,2000,G-F,6-6,225,September 24, 1973,University of Kentucky, University of Southern California
85,Glen Rice,1990,2004,F,6-7,215,May 28, 1967,University of Michigan
86,Glen Rice,2014,2015,G,6-6,206,January 1, 1991,Georgia Institute of Technology
87,Chris Richard,2008,2010,F,6-9,270,December 25, 1984,University of Florida
88,Clint Richardson,1980,1987,G,6-3,195,August 7, 1956,Seattle University
89,Jason Richardson,2002,2015,G,6-6,220,January 20, 1981,Michigan State University
90,Jeremy Richardson,2007,2009,G-F,6-6,185,February 11, 1984,Delta State University
91,Josh Richardson,2016,2018,G,6-6,200,September 15, 1993,University of Tennessee
92,Malachi Richardson,2017,2018,G,6-6,205,January 5, 1996,Syracuse University
93,Micheal Ray Richardson,1979,1986,G-F,6-5,189,April 11, 1955,University of Montana
94,Norm Richardson,2002,2002,G,6-5,190,July 24, 1979,Hofstra University
95,Pooh Richardson,1990,1999,G,6-1,180,May 14, 1966,University of California, Los Angeles
96,Quentin Richardson,2001,2013,G,6-6,223,April 13, 1980,DePaul University
97,Mitch Richmond*,1989,2002,G,6-5,215,June 30, 1965,Kansas State University
98,John Richter,1960,1960,F,6-9,225,March 12, 1937,North Carolina State University
99,Dick Ricketts,1956,1958,F-C,6-7,215,December 4, 1933,Duquesne University
100,Isaiah Rider,1994,2002,G,6-5,215,March 12, 1971,University of Nevada, Las Vegas
101,Jackie Ridgle,1972,1972,G,6-4,195,February 13, 1948,University of California
102,Luke Ridnour,2004,2015,G,6-2,175,February 13, 1981,University of Oregon
103,Mel Riebe,1947,1949,G-F,5-11,180,July 12, 1916,College of Wooster
104,Bob Riedy,1968,1968,F,6-6,215,August 26, 1945,Duke University
105,Jim Riffey,1951,1951,F,6-4,200,December 14, 1923,Tulane University
106,Antoine Rigaudeau,2003,2003,G,6-7,210,December 17, 1971,
107,Tom Riker,1973,1975,C-F,6-10,225,February 28, 1950,University of South Carolina
108,Bob Riley,1971,1971,F,6-9,235,July 6, 1948,Mount St. Mary's University
109,Eric Riley,1994,1999,C,7-0,245,June 2, 1970,University of Michigan
110,Pat Riley*,1968,1976,G-F,6-4,205,March 20, 1945,University of Kentucky
111,Ron Riley,1973,1976,F,6-8,195,November 11, 1950,University of Southern California
112,Rich Rinaldi,1972,1974,G,6-3,195,August 3, 1949,Saint Peter's College
113,Mike Riordan,1969,1977,G-F,6-4,200,July 9, 1945,Providence College
114,Arnie Risen*,1949,1958,C-F,6-9,200,October 9, 1924,Ohio State University
115,Tex Ritter,1949,1951,G-F,6-2,185,February 26, 1924,Eastern Kentucky University
116,Ramon Rivas,1989,1989,F-C,6-10,260,June 3, 1966,Temple University
117,Austin Rivers,2013,2018,G,6-4,200,August 1, 1992,Duke University
118,David Rivers,1989,1992,G,6-0,170,January 20, 1965,University of Notre Dame
119,Doc Rivers,1984,1996,G,6-4,185,October 13, 1961,Marquette University
120,Lee Robbins,1948,1949,F,6-3,175,February 11, 1922,University of Colorado
121,Red Robbins,1968,1975,F-C,6-8,190,September 30, 1944,University of Tennessee
122,Andre Roberson,2014,2018,G-F,6-7,210,December 4, 1991,University of Colorado
123,Anthony Roberson,2006,2009,G,6-2,180,February 14, 1983,University of Florida
124,Rick Roberson,1970,1976,C-F,6-9,231,July 7, 1947,University of Cincinnati
125,Terrance Roberson,2001,2001,F,6-7,215,December 30, 1976,California State University, Fresno
126,Anthony Roberts,1978,1984,F-G,6-5,185,April 15, 1955,Oral Roberts University
127,Bill Roberts,1949,1950,C,6-9,210,March 13, 1925,University of Wyoming
128,Brian Roberts,2013,2017,G,6-1,173,December 3, 1985,University of Dayton
129,Fred Roberts,1984,1997,F-C,6-10,218,August 14, 1960,Brigham Young University
130,Joe Roberts,1961,1968,F,6-6,214,May 18, 1936,Ohio State University
131,Lawrence Roberts,2006,2007,F,6-9,240,October 20, 1982,Baylor University, Mississippi State University
132,Marv Roberts,1972,1977,F-C,6-8,200,January 29, 1950,Utah State University
133,Stanley Roberts,1992,2000,C,7-0,285,February 7, 1970,Louisiana State University
134,Alvin Robertson,1985,1996,G,6-3,185,July 22, 1962,University of Arkansas
135,Oscar Robertson*,1961,1974,G-F,6-5,205,November 24, 1938,University of Cincinnati
136,Ryan Robertson,2000,2000,G,6-5,190,October 2, 1976,University of Kansas
137,Tony Robertson,1978,1979,G,6-4,195,January 1, 1956,West Virginia University
138,Rick Robey,1979,1986,C-F,6-11,230,January 30, 1956,University of Kentucky
139,Bernard Robinson,2005,2007,G-F,6-6,210,December 26, 1980,University of Michigan
140,Chris Robinson,1997,1998,G,6-5,200,April 2, 1974,Western Kentucky University
141,Cliff Robinson,1980,1992,F,6-9,220,March 13, 1960,University of Southern California
142,Clifford Robinson,1990,2007,F-C,6-10,225,December 16, 1966,University of Connecticut
143,David Robinson*,1990,2003,C,7-1,235,August 6, 1965,United States Naval Academy
144,Devin Robinson,2018,2018,F,6-8,190,March 7, 1995,University of Florida
145,Eddie Robinson,2000,2004,G-F,6-8,210,April 19, 1976,University of Central Oklahoma
146,Flynn Robinson,1967,1974,G,6-1,185,April 28, 1941,University of Wyoming
147,Glenn Robinson,1995,2005,F,6-7,225,January 10, 1973,Purdue University
148,Glenn Robinson,2015,2018,G-F,6-6,222,January 8, 1994,University of Michigan
149,Jackie Robinson,1979,1982,F,6-6,210,May 20, 1955,University of Nevada, Las Vegas
150,Jamal Robinson,2001,2001,F,6-7,212,December 27, 1973,University of Virginia
151,James Robinson,1994,2001,G,6-2,180,August 31, 1970,University of Alabama
152,Larry Robinson,1991,2002,F-G,6-3,180,January 11, 1968,Centenary College of Louisiana
153,Nate Robinson,2006,2016,G,5-9,180,May 31, 1984,University of Washington
154,Oliver Robinson,1983,1983,G,6-4,180,March 13, 1960,University of Alabama at Birmingham
155,Ronnie Robinson,1974,1975,F,6-8,200,March 9, 1951,University of Memphis
156,Rumeal Robinson,1991,1997,G,6-2,195,November 13, 1966,University of Michigan
157,Samuel Robinson,1971,1972,F,6-7,190,January 1, 1948,California State University, Long Beach
158,Thomas Robinson,2013,2017,F,6-10,237,March 17, 1991,University of Kansas
159,Truck Robinson,1975,1985,F-C,6-7,225,October 4, 1951,Tennessee State University
160,Wayne Robinson,1981,1981,F,6-8,217,April 19, 1958,Virginia Polytechnic Institute and State University
161,Wilbert Robinson,1974,1974,G,6-2,175,December 25, 1949,West Virginia University
162,Bill Robinzine,1976,1982,F,6-7,230,January 20, 1953,DePaul University
163,Dave Robisch,1972,1984,C-F,6-10,235,December 22, 1949,University of Kansas
164,Red Rocha,1948,1957,C-F,6-9,185,September 18, 1923,Oregon State University
165,John Roche,1972,1982,G,6-3,170,September 26, 1949,University of South Carolina
166,Gene Rock,1948,1948,G,5-9,155,November 4, 1921,University of Southern California
167,Jack Rocker,1948,1948,C-F,6-5,185,August 12, 1922,University of California
168,Guy Rodgers*,1959,1970,G,6-0,185,September 1, 1935,Temple University
169,Dennis Rodman*,1987,2000,F,6-7,210,May 13, 1961,Southeastern Oklahoma State University
170,Sergio Rodriguez,2007,2017,G,6-3,176,June 12, 1986,
171,Lou Roe,1996,1997,F,6-7,220,July 14, 1972,University of Massachusetts Amherst
172,Carlos Rogers,1995,2002,C-F,6-11,220,February 6, 1971,University of Arkansas at Little Rock, Tennessee State University
173,Harry Rogers,1976,1976,F,6-7,195,December 31, 1950,Saint Louis University
174,Johnny Rogers,1987,1988,F-C,6-10,225,December 30, 1963,Stanford University, University of California, Irvine
175,Marshall Rogers,1977,1977,G,6-1,190,August 27, 1953,University of Texas-Pan American
176,Rodney Rogers,1994,2005,F,6-7,235,June 20, 1971,Wake Forest University
177,Roy Rogers,1997,2000,F,6-10,235,August 19, 1973,University of Alabama
178,Willie Rogers,1969,1969,G-F,6-3,185,September 11, 1945,University of Oklahoma
179,Al Roges,1954,1955,G-F,6-4,195,October 25, 1930,Long Island University
180,Ken Rohloff,1964,1964,G,6-0,195,April 18, 1939,North Carolina State University
181,Kenny Rollins,1949,1953,G,6-0,168,September 14, 1923,University of Kentucky
182,Phil Rollins,1959,1961,G,6-2,185,January 19, 1934,University of Louisville
183,Tree Rollins,1978,1995,C,7-1,235,June 16, 1955,Clemson University
184,Lorenzo Romar,1981,1985,G,6-1,175,November 13, 1958,University of Washington
185,Rajon Rondo,2007,2018,G,6-1,186,February 22, 1986,University of Kentucky
186,Jerry Rook,1970,1970,F,6-5,219,October 27, 1943,Arkansas State University
187,Sean Rooks,1993,2004,C,6-10,250,September 9, 1969,University of Arizona
188,Derrick Rose,2009,2018,G,6-3,190,October 4, 1988,University of Memphis
189,Jalen Rose,1995,2007,G-F,6-8,210,January 30, 1973,University of Michigan
190,Malik Rose,1997,2009,F,6-7,250,November 23, 1974,Drexel University
191,Rob Rose,1989,1989,G,6-5,180,December 27, 1964,George Mason University
192,Petey Rosenberg,1947,1947,G,5-10,165,April 7, 1918,Saint Joseph's University
193,Lennie Rosenbluth,1958,1959,F,6-4,190,January 22, 1933,University of North Carolina
194,Hank Rosenstein,1947,1947,F,6-4,185,June 16, 1920,City College of New York
195,Dick Rosenthal,1955,1957,F-G,6-5,205,January 20, 1930,University of Notre Dame
196,Quinton Ross,2005,2011,G,6-6,195,April 30, 1981,Southern Methodist University
197,Terrence Ross,2013,2018,F-G,6-7,206,February 5, 1991,University of Washington
198,Doug Roth,1990,1990,C,6-11,255,August 24, 1967,University of Tennessee
199,Scott Roth,1988,1990,F,6-8,212,June 3, 1963,University of Wisconsin
200,Irv Rothenberg,1947,1949,C,6-7,215,December 31, 1921,Long Island University
201,Mickey Rottner,1947,1948,G,5-10,180,March 23, 1919,Loyola University of Chicago
202,Dan Roundfield,1976,1987,F-C,6-8,205,May 26, 1953,Central Michigan University
203,Giff Roux,1947,1949,F-C,6-5,195,June 28, 1923,University of Kansas
204,Ron Rowan,1987,1987,G,6-5,200,April 23, 1962,University of Notre Dame, St. John's University
205,Curtis Rowe,1972,1979,F,6-7,225,July 2, 1949,University of California, Los Angeles
206,Jim Rowinski,1989,1990,F-C,6-8,250,January 4, 1961,Purdue University
207,Derrick Rowland,1986,1986,G,6-5,195,June 21, 1959,State University of New York at Potsdam
208,Brian Rowsom,1988,1990,F,6-9,220,October 23, 1965,University of North Carolina at Wilmington
209,Brandon Roy,2007,2013,G,6-6,215,July 23, 1984,University of Washington
210,Donald Royal,1990,1998,F,6-8,210,May 22, 1966,University of Notre Dame
211,Reggie Royals,1975,1975,C,6-10,200,September 18, 1950,Florida State University
212,Bob Royer,1950,1950,G,5-10,155,October 15, 1927,Indiana State University
213,Clifford Rozier,1995,1998,C-F,6-11,245,October 31, 1972,University of North Carolina, University of Louisville
214,Terry Rozier,2016,2018,G,6-2,190,March 17, 1994,University of Louisville
215,Ricky Rubio,2012,2018,G,6-4,194,October 21, 1990,
216,Guy Rucker,2003,2003,F-C,6-11,265,July 27, 1977,University of Iowa
217,Delaney Rudd,1990,1993,G,6-2,180,November 8, 1962,Wake Forest University
218,John Rudd,1979,1979,F,6-7,230,August 7, 1955,McNeese State University
219,Damjan Rudez,2015,2017,F,6-10,228,June 17, 1986,
220,John Rudometkin,1963,1965,F,6-6,205,June 6, 1940,University of Southern California
221,Michael Ruffin,2000,2009,F,6-9,246,January 21, 1977,University of Tulsa
222,Trevor Ruffin,1995,1996,G,6-1,185,September 26, 1970,University of Hawaii
223,Paul Ruffner,1971,1976,C-F,6-10,225,October 15, 1948,Brigham Young University
224,Joe Ruklick,1960,1962,F-C,6-9,220,August 3, 1938,Northwestern University
225,Jeff Ruland,1982,1993,C-F,6-10,240,December 16, 1958,Iona College
226,Bob Rule,1968,1975,C-F,6-9,220,June 29, 1944,Colorado State University
227,Jerry Rullo,1947,1950,G,5-10,165,June 23, 1923,Temple University
228,Stefano Rusconi,1996,1996,C-F,6-9,240,October 2, 1968,
229,Brandon Rush,2009,2017,G-F,6-6,220,July 7, 1985,University of Kansas
230,Kareem Rush,2003,2010,G,6-6,215,October 30, 1980,University of Missouri
231,Bill Russell*,1957,1969,C,6-10,215,February 12, 1934,University of San Francisco
232,Bryon Russell,1994,2006,F,6-7,225,December 31, 1970,California State University, Long Beach
233,Campy Russell,1975,1985,F,6-8,215,January 12, 1952,University of Michigan
234,Cazzie Russell,1967,1978,F-G,6-5,218,June 7, 1944,University of Michigan
235,D'Angelo Russell,2016,2018,G,6-5,195,February 23, 1996,Ohio State University
236,Frank Russell,1973,1973,G,6-3,180,April 17, 1949,University of Detroit Mercy
237,Pierre Russell,1972,1973,F-G,6-4,190,December 13, 1949,University of Kansas
238,Rubin Russell,1968,1968,G,6-2,180,November 7, 1944,University of North Texas
239,Walker Russell,1983,1988,G,6-5,195,October 26, 1960,University of Houston, Western Michigan University
240,Walker Russell,2012,2012,G,6-0,170,October 6, 1982,Jacksonville State University
1,Arvydas Sabonis*,1996,2003,C,7-3,279,December 19, 1964,
2,Domantas Sabonis,2017,2018,F-C,6-11,240,May 3, 1996,Gonzaga University
3,Robert Sacre,2013,2016,C,7-0,270,June 6, 1989,Gonzaga University
4,Ed Sadowski,1947,1950,C,6-5,240,July 11, 1917,Seton Hall University
5,Kenny Sailors,1947,1951,G,5-10,175,January 14, 1921,University of Wyoming
6,John Salley,1987,2000,F-C,6-11,230,May 16, 1964,Georgia Institute of Technology
7,John Salmons,2003,2015,G,6-7,210,December 12, 1979,University of Miami
8,Al Salvadori,1968,1968,F,6-9,220,May 6, 1945,University of South Carolina
9,Kevin Salvadori,1997,1998,C,7-0,231,December 30, 1970,University of North Carolina
10,Soumaila Samake,2001,2003,C,7-0,230,March 18, 1978,
11,Cheikh Samb,2008,2009,C,7-1,245,October 22, 1984,
12,JaKarr Sampson,2015,2018,G-F,6-9,214,March 20, 1993,St. John's University
13,Jamal Sampson,2003,2007,F-C,6-11,235,May 15, 1983,University of California
14,Ralph Sampson*,1984,1992,C-F,7-4,228,July 7, 1960,University of Virginia
15,Samardo Samuels,2011,2013,F,6-9,260,January 9, 1989,University of Louisville
16,Pepe Sanchez,2001,2003,G,6-4,195,May 8, 1977,Temple University
17,Al Sanders,1973,1973,F,6-7,240,January 1, 1950,Louisiana State University
18,Frankie Sanders,1979,1981,F-G,6-6,200,January 23, 1957,Southern University and A&M; College
19,Jeff Sanders,1990,1993,F,6-8,225,January 14, 1966,Georgia Southern University
20,Larry Sanders,2011,2017,C-F,6-11,235,November 21, 1988,Virginia Commonwealth University
21,Melvin Sanders,2006,2006,G-F,6-5,210,January 3, 1981,Seward County Community College, Oklahoma State University
22,Mike Sanders,1983,1993,F-G,6-6,210,May 7, 1960,University of California, Los Angeles
23,Tom Sanders*,1961,1973,F,6-6,210,November 8, 1938,New York University
24,Ron Sanford,1972,1972,F,6-9,215,June 11, 1946,University of New Mexico
25,Daniel Santiago,2001,2005,C,7-1,256,June 24, 1976,University of New Mexico, Saint Vincent College
26,Bob Santini,1956,1956,F,6-5,190,February 17, 1935,Iona College
27,Wayne Sappleton,1985,1985,F,6-9,215,November 17, 1960,Loyola University of Chicago
28,Dario Saric,2017,2018,F,6-10,223,April 8, 1994,
29,Jason Sasser,1997,1999,F,6-7,225,January 13, 1974,Texas Tech University
30,Jeryl Sasser,2002,2003,G,6-6,200,February 13, 1979,Southern Methodist University
31,Tomas Satoransky,2017,2018,G,6-7,210,October 30, 1991,
32,Kenny Satterfield,2002,2003,G,6-2,186,April 10, 1981,University of Cincinnati
33,Pep Saul,1950,1955,G-F,6-2,185,February 16, 1924,Seton Hall University
34,Woody Sauldsberry,1958,1966,F-C,6-7,220,July 11, 1934,Texas Southern University
35,Glynn Saulters,1969,1969,G,6-2,175,February 10, 1945,University of Louisiana at Monroe
36,Fred Saunders,1975,1978,F,6-7,210,June 13, 1951,Syracuse University
37,Don Savage,1952,1957,F-G,6-3,205,April 9, 1928,LeMoyne College
38,Predrag Savovic,2003,2003,G,6-6,225,May 21, 1976,University of Alabama at Birmingham, University of Hawaii
39,Alan Sawyer,1951,1951,F,6-5,195,January 1, 1928,University of California, Los Angeles
40,Brian Scalabrine,2002,2012,F,6-9,241,March 18, 1978,University of Southern California
41,Alex Scales,2006,2006,G,6-4,185,July 3, 1978,University of Oregon
42,DeWayne Scales,1981,1984,F,6-8,208,December 28, 1958,Louisiana State University
43,Frank Schade,1973,1973,G,6-1,170,January 22, 1950,University of Wisconsin-Eau Claire
44,Ben Schadler,1948,1948,F,6-0,185,March 9, 1924,Northwestern University
45,Herm Schaefer,1949,1950,G-F,6-0,175,December 20, 1918,Indiana University
46,Billy Schaeffer,1974,1976,F,6-5,200,December 11, 1951,St. John's University
47,Bob Schafer,1956,1957,G,6-3,195,,Villanova University
48,Ben Scharnus,1947,1949,F,6-2,173,December 11, 1917,Seton Hall University
49,Marv Schatzman,1950,1950,F,6-5,200,February 18, 1927,Saint Louis University
50,Fred Schaus,1950,1954,F,6-5,205,June 30, 1925,West Virginia University
51,Danny Schayes,1982,1999,C-F,6-11,235,May 10, 1959,Syracuse University
52,Dolph Schayes*,1950,1964,F-C,6-8,220,May 19, 1928,New York University
53,Ossie Schectman,1947,1947,G,6-0,175,March 30, 1919,Long Island University
54,Steve Scheffler,1991,1997,C-F,6-9,250,September 3, 1967,Purdue University
55,Tom Scheffler,1985,1985,C,6-11,240,October 27, 1954,Purdue University
56,Dave Schellhase,1967,1968,G,6-3,205,October 14, 1944,Purdue University
57,Luke Schenscher,2006,2007,C,7-1,255,December 31, 1982,Georgia Institute of Technology
58,Herb Scherer,1951,1952,C,6-9,212,December 21, 1928,Long Island University
59,Dwayne Schintzius,1991,1999,C,7-1,260,October 14, 1968,University of Florida
60,Dale Schlueter,1969,1978,C,6-10,225,November 12, 1945,Colorado State University
61,Otto Schnellbacher,1949,1949,F-G,6-4,185,April 15, 1923,University of Kansas
62,Dick Schnittker,1951,1958,F,6-5,200,May 27, 1928,Ohio State University
63,Russ Schoene,1983,1989,F-C,6-10,210,April 16, 1960,University of Tennessee at Chattanooga
64,Dave Scholz,1970,1970,F,6-8,220,April 12, 1948,University of Illinois at Urbana-Champaign
65,Milt Schoon,1947,1950,C,6-7,230,February 25, 1922,Valparaiso University
66,Detlef Schrempf,1986,2001,F-C,6-9,214,January 21, 1963,University of Washington
67,Dennis Schroder,2014,2018,G,6-1,172,September 15, 1993,
68,Howie Schultz,1950,1953,C-F,6-6,200,July 3, 1922,Hamline University
69,Dick Schulz,1947,1950,F-G,6-2,192,January 3, 1917,University of Wisconsin
70,Roger Schurig,1968,1968,G,6-3,185,April 3, 1942,Vanderbilt University
71,John Schweitz,1985,1987,G,6-6,210,April 19, 1960,University of Richmond
72,Luis Scola,2008,2017,F,6-9,240,April 30, 1980,
73,Fred Scolari,1947,1955,G,5-10,180,March 1, 1922,University of San Francisco
74,Alvin Scott,1978,1985,F-G,6-7,185,September 14, 1955,Oral Roberts University
75,Brent Scott,1997,1997,F-C,6-10,250,June 15, 1971,Rice University
76,Byron Scott,1984,1997,G,6-3,195,March 28, 1961,Arizona State University
